Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index, NAV , 52 WeekHigh (NAV), 52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%), No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks
SBI Consumption Opp Fund-Reg(G),Ashit Desai,EQ-CONS,3,3074,1.97,Open Ended,01-Jan-13,Nifty India Consumption - TRI,334.54,355.77,257.71,0.58,-6.73,6.5,23.99,27.78,22.93,23.35,16.45,29,49,48176,31.23,24.62,41.45,FMCG,-,-,-,15.37,1.5,2.47,0.58,12.16,Equity : Thematic - Consumption,0.10% on or before 30D Nil after 30D
SBI Contra Fund-Reg(G),Dinesh Balachandran,EQ-VAL,5,41906.9,1.5,Open Ended,05-Jul-99,BSE 500 - TRI,377.09,406.2,314.69,-1.16,-6.55,-0.5,18.75,28.22,22.88,29.37,15.97,167,88,140583,48.55,15.82,13.54,Financials,-,-,-,10.21,1.04,1.48,0.87,13.93,Equity : Value / Contra,1% on or before 1Y Nil after 1Y
SBI Corp Bond Fund-Reg(G),Rajeev Radhakrishnan,DT-CORP,3,20915.6,0.8,Open Ended,01-Feb-19,NIFTY Corporate Bond Index,14.81,14.81,13.73,0.48,1.45,4.06,7.85,7.23,5.91,6.18,-,0,-,-,-,-,-,-,4.97,3.7,7.53,2.62,4.99,9.22,0.36,0.74,Debt : Corporate Bond,Nil
SBI CPSE Bond Plus SDL Sep 2026 50:50 Index Fund-Reg(G),Ranjana Gupta,DT-MD,Unrated,9366,0.37,Open Ended,19-Jan-22,Nifty CPSE Bond Plus SDL Sep 2026 50:50 Index,11.75,11.75,10.91,0.54,1.59,3.78,7.71,7.24,-,-,-,0,-,-,-,-,-,-,1.57,1.42,7.25,3.02,6.78,15.85,0.17,0.52,Debt : Medium Duration,0.15% on or before 30D Nil after 30D
SBI Credit Risk Fund-Reg(G),Lokesh Mallya,DT-CR,4,2289.2,1.55,Open Ended,14-Jul-04,NIFTY Credit Risk Bond Index,43.66,43.66,40.41,0.58,1.78,3.84,8.04,8.16,6.85,7.02,7.48,0,1,-,-,-,-,-,3.15,2.25,8.67,3.35,4.18,8.44,0.18,0.92,Debt : Credit Risk,Nil for 8% of investment and 3% for remaining investment on or before 12M Nil for 8% of investment and 1.5% for remaining investment after 12M but before 24M Nil for 8% of investment and 0.75% for remaining investment after 24M but before 36M Nil after 36M
SBI CRISIL IBX Gilt Index - Apr 2029 Fund-Reg(G),Ranjana Gupta,DT-M&LD,Unrated,2278.8,0.45,Open Ended,04-Oct-22,CRISIL IBX Gilt Index - April 2029,11.89,11.89,10.98,0.4,1.24,4.24,8.24,7.99,-,-,-,0,-,-,-,-,-,-,4.37,3.68,6.82,2.24,3.14,5.61,0.6,1.28,Debt : Medium to Long Duration,0.15% on or before 30D Nil after 30D
SBI CRISIL IBX Gilt Index - June 2036 Fund-Reg(G),Ranjana Gupta,DT-LD,Unrated,2432.5,0.54,Open Ended,04-Oct-22,CRISIL IBX Gilt Index - June 2036,12.15,12.19,11,0.45,0.86,4.53,10.31,8.99,-,-,-,0,-,-,-,-,-,-,11.33,7.61,6.99,1.92,2.26,3.8,1.32,2.57,Debt : Long Duration,0.15% on or before 30D Nil after 30D
SBI CRISIL IBX SDL Index - Sep 2027 Fund-Reg(G),Ranjana Gupta,DT-M&LD,Unrated,1103.8,0.4,Open Ended,04-Oct-22,CRISIL IBX SDL Index - September 2027,11.77,11.78,10.87,0.56,1.46,3.91,8.37,7.6,-,-,-,0,-,-,-,-,-,-,2.65,2.32,7.07,3.12,4.32,9.19,0.31,0.93,Debt : Medium to Long Duration,0.15% on or before 30D Nil after 30D
SBI Dividend Yield Fund-Reg(G),Rohit Shimpi,EQ-DIV,Unrated,9555.9,1.78,Open Ended,14-Mar-23,NIFTY 500 - TRI,15.06,16.28,12.64,-3.04,-8.41,-2.71,14.89,-,-,-,-,6,42,244924,65.3,16.45,8.29,Financials,-,-,-,6.53,0.81,1.2,0.88,13.53,Equity : Thematic - Dividend Yield,Nil upto 10% of units and 1% for remaining units on or before 1Y Nil after 1Y
SBI Dynamic Bond Fund-Reg(G),Rajeev Radhakrishnan,DT-DYN,3,3309.3,1.45,Open Ended,13-Jan-04,CRISIL Dynamic Bond Index,34.25,34.35,31.49,0.33,0.17,3.74,8.62,7.77,6.56,6.33,7.44,0,-,-,-,-,-,-,20.67,8.71,7.15,0.81,1.95,3.3,1.18,2.19,Debt : Dynamic Bond,Nil for 10% of investment and 0.25% for remaining Investment on or before 1M Nil after 1M
SBI Energy Opportunities Fund-Reg(G),Raj Gandhi,EQ-POWER,Unrated,10486,1.74,Open Ended,26-Feb-24,NIFTY ENERGY - TRI,10.45,12.05,9.66,0.24,-13.08,-7.67,-,-,-,-,-,64,28,160299,58.6,19.31,18.41,Energy,-,-,-,-,-,-,-,-,Equity : Sectoral - Energy / Power,1% on or before 1Y Nil after 1Y
SBI Equity Hybrid Fund-Reg(G),R. Srinivasan,HY-EQ,4,72428.4,1.4,Open Ended,06-Jan-96,CRISIL Hybrid 35+65 - Aggressive Index,279.63,291.3,240.58,-0.43,-3.87,1.16,14.62,15.8,11.19,13.78,11.76,56,39,279510,50.99,18.56,3.43,Financials,7.87,4.58,7.55,5.04,1.02,1.53,1.72,9.82,Hybrid : Equity Oriented,Nil for 10% of investments and 1% for remaining investment on or before 12M Nil after 12M
SBI Equity Minimum Variance Fund-Reg(G),Raviprakash Sharma,EQ-THEM,2,216.7,0.74,Open Ended,19-Mar-19,NIFTY 50 - TRI,23.53,26.69,21.17,-0.92,-12.48,-2.12,7.99,18.51,14.29,17.93,-,40,50,274603,93.64,6.34,-,FMCG,-,-,-,1.08,0.39,0.66,0.71,11.88,Equity : Thematic,0.50% on or before 15D Nil after 15D
SBI Equity Savings Fund-Reg(G),Neeraj Kumar,HY-EQ,3,5982.4,1.42,Open Ended,27-May-15,NIFTY 50 Equity Savings Index,23.27,23.5,20.81,0.28,0.16,3.37,11.98,14.75,10.3,11.2,-,0,115,128185,38.57,8.09,18.92,Financials,2.61,2.05,7.67,5.95,1.54,2.32,0.55,4.9,Hybrid : Equity Oriented,0.10% on or before 15D Nil after 15D
SBI ESG Exclusionary Strategy Fund-Reg(G),Rohit Shimpi,EQ-THEM,2,5806.1,1.93,Open Ended,01-Jan-91,NIFTY100 ESG - TRI,230.49,250.49,199.25,-2.31,-6.77,-2.07,12.88,18.43,11.09,15.2,12.3,31,40,304534,77.25,13.48,5.54,Financials,-,-,-,4.33,0.67,1.01,0.89,13.04,Equity : Thematic,1% on or before 1Y Nil after 1Y
SBI Flexicap Fund-Reg(G),Dinesh Balachandran,EQ-FLEX,3,22206.1,1.66,Open Ended,16-Sep-05,BSE 500 - TRI,107.84,115.3,93.26,0.07,-5.68,0.42,14.8,18.73,12.41,16.08,13.35,82,104,130718,48.41,20.08,21.2,Financials,-,-,-,6.58,0.83,1.22,0.84,12.85,Equity : Flexi Cap,0.10% on or before 30D Nil after 30D
SBI Floating Rate Debt Fund-Reg(G),Ardhendu Bhattacharya,DT-FL,2,1189.5,0.46,Open Ended,27-Oct-20,Nifty Short Duration Debt Index,12.76,12.77,11.81,0.42,1.56,3.88,8.16,7.83,6.66,-,-,0,-,-,-,-,-,-,5.66,1.57,7.57,3.58,6.85,15.59,0.14,0.58,Debt : Floater,0.10% on or before 3D Nil after 3D
SBI FMP-1-3668D-Reg(G),Ranjana Gupta,DT-FMP,Unrated,46.5,-,Closed Ended,28-Mar-19,Crisil Long Term Debt Index,15.63,15.66,14.35,0.3,1.31,4.42,9.03,8.24,6.58,6.98,-,-,-,-,-,-,-,-,-,-,-,1.11,1.89,3.08,0.29,0.91,Debt : FTP/FMP,null
SBI FMP-34-3682D-Reg(G),Ranjana Gupta,DT-FMP,Unrated,26.6,-,Closed Ended,05-May-20,Crisil Long Term Debt Index,13.18,13.19,12.05,0.59,1.3,4.41,9.18,8.17,6.38,-,-,-,-,-,-,-,-,-,-,-,-,0.96,1.7,2.99,0.41,1.09,Debt : FTP/FMP,null
SBI FMP-41-1498D-Reg(G),Ranjana Gupta,DT-FMP,Unrated,891.7,-,Closed Ended,25-Mar-21,CRISIL Medium Duration Debt Index,12.31,12.31,11.47,0.53,1.6,3.48,7.35,7.18,5.42,-,-,-,-,-,-,-,-,-,-,-,-,0.71,5.15,5.54,0.02,0.14,Debt : FTP/FMP,null
SBI FMP-42-1857D-Reg(G),Ranjana Gupta,DT-FMP,Unrated,462.6,-,Closed Ended,30-Mar-21,CRISIL Medium to Long Term Debt Index,12.41,12.41,11.52,0.53,1.58,3.78,7.75,7.4,5.64,-,-,-,-,-,-,-,-,-,-,-,-,0.78,2.7,4.78,0.1,0.37,Debt : FTP/FMP,null
SBI FMP-43-1616D-Reg(G),Ranjana Gupta,DT-FMP,Unrated,115.4,-,Closed Ended,29-Apr-21,CRISIL Medium Duration Debt Index,12.31,12.31,11.45,0.5,1.5,3.59,7.57,7.3,5.65,-,-,-,-,-,-,-,-,-,-,-,-,0.76,3.35,5.33,0.05,0.26,Debt : FTP/FMP,null
SBI FMP-44-1855D-Reg(G),Ranjana Gupta,DT-FMP,Unrated,372.5,-,Closed Ended,02-Jun-21,CRISIL Medium to Long Term Debt Index,12.25,12.25,11.34,0.53,1.58,3.88,7.93,7.47,5.72,-,-,-,-,-,-,-,-,-,-,-,-,0.83,2.51,4.52,0.12,0.43,Debt : FTP/FMP,null
SBI FMP-45-1840D-Reg(G),Ranjana Gupta,DT-FMP,Unrated,218.6,-,Closed Ended,17-Jun-21,CRISIL Medium to Long Term Debt Index,12.24,12.24,11.34,0.52,1.58,3.86,7.93,7.49,5.77,-,-,-,-,-,-,-,-,-,-,-,-,0.86,2.62,4.7,0.11,0.42,Debt : FTP/FMP,null
SBI FMP-46-1850D-Reg(G),Ranjana Gupta,DT-FMP,Unrated,127.4,-,Closed Ended,07-Jul-21,CRISIL Medium to Long Term Debt Index,12.22,12.22,11.33,0.5,1.52,3.8,7.87,7.34,5.66,-,-,-,-,-,-,-,-,-,-,-,-,0.78,2.57,4.54,0.12,0.41,Debt : FTP/FMP,null
SBI FMP-47-1434D-Reg(G),Ranjana Gupta,DT-FMP,Unrated,139.6,-,Closed Ended,23-Jul-21,CRISIL Medium Duration Debt Index,12.06,12.06,11.22,0.53,1.57,3.56,7.52,7.26,5.52,-,-,-,-,-,-,-,-,-,-,-,-,0.78,3.86,5.52,0.03,0.22,Debt : FTP/FMP,null
SBI FMP-48-1458D-Reg(G),Ranjana Gupta,DT-FMP,Unrated,45.1,-,Closed Ended,04-Aug-21,CRISIL Medium Duration Debt Index,12.03,12.03,11.2,0.51,1.52,3.58,7.5,7.25,5.61,-,-,-,-,-,-,-,-,-,-,-,-,0.76,3.78,5.56,0.04,0.22,Debt : FTP/FMP,null
SBI FMP-50-1843D-Reg(G),Ranjana Gupta,DT-FMP,Unrated,117.7,-,Closed Ended,07-Sep-21,CRISIL Medium to Long Term Debt Index,11.94,11.94,11.07,0.53,1.55,3.87,7.98,7.49,5.6,-,-,-,-,-,-,-,-,-,-,-,-,0.81,2.61,4.56,0.15,0.43,Debt : FTP/FMP,null
SBI FMP-51-1846D-Reg(G),Ranjana Gupta,DT-FMP,Unrated,288.8,-,Closed Ended,16-Sep-21,CRISIL Medium to Long Term Debt Index,11.94,11.94,11.05,0.54,1.56,3.9,8.08,7.55,5.71,-,-,-,-,-,-,-,-,-,-,-,-,0.88,2.72,4.81,0.15,0.44,Debt : FTP/FMP,null
SBI FMP-52-1848D-Reg(G),Ranjana Gupta,DT-FMP,Unrated,132.6,-,Closed Ended,28-Sep-21,CRISIL Medium to Long Term Debt Index,11.93,11.93,11.04,0.53,1.57,3.89,8.09,7.54,5.81,-,-,-,-,-,-,-,-,-,-,-,-,0.91,2.7,4.72,0.13,0.44,Debt : FTP/FMP,null
SBI FMP-53-1839D-Reg(G),Ranjana Gupta,DT-FMP,Unrated,298.7,-,Closed Ended,25-Oct-21,CRISIL Medium to Long Term Debt Index,11.94,11.94,11.04,0.51,1.54,3.92,8.18,7.57,5.82,-,-,-,-,-,-,-,-,-,-,-,-,0.93,2.64,4.71,0.15,0.47,Debt : FTP/FMP,null
SBI FMP-54-1842D-Reg(G),Ranjana Gupta,DT-FMP,Unrated,36.4,-,Closed Ended,08-Nov-21,CRISIL Medium to Long Term Debt Index,11.91,11.91,11.02,0.51,1.51,3.88,8.2,7.57,5.81,-,-,-,-,-,-,-,-,-,-,-,-,0.96,2.53,4.54,0.14,0.5,Debt : FTP/FMP,null
SBI FMP-55-1849D-Reg(G),Ranjana Gupta,DT-FMP,Unrated,245.4,-,Closed Ended,23-Nov-21,CRISIL Medium to Long Term Debt Index,11.89,11.89,11,0.52,1.53,3.91,8.18,7.54,5.79,-,-,-,-,-,-,-,-,-,-,-,-,0.93,2.49,4.43,0.15,0.5,Debt : FTP/FMP,null
SBI FMP-56-1232D-Reg(G),Ranjana Gupta,DT-FMP,Unrated,279.8,-,Closed Ended,16-Dec-21,CRISIL Medium Duration Debt Index,11.76,11.76,10.94,0.53,1.58,3.56,7.45,7.25,5.56,-,-,-,-,-,-,-,-,-,-,-,-,0.76,4.58,5.71,0.02,0.17,Debt : FTP/FMP,null
SBI FMP-57-1835D-Reg(G),Ranjana Gupta,DT-FMP,Unrated,248.3,-,Closed Ended,13-Dec-21,CRISIL Medium to Long Term Debt Index,11.81,11.81,10.92,0.52,1.53,3.95,8.17,7.59,5.68,-,-,-,-,-,-,-,-,-,-,-,-,0.86,2.52,4.49,0.17,0.49,Debt : FTP/FMP,null
SBI FMP-58-1842D-Reg(G),Ranjana Gupta,DT-FMP,Unrated,242.5,-,Closed Ended,05-Jan-22,CRISIL Medium to Long Term Debt Index,11.91,11.91,11.01,0.55,1.54,3.93,8.26,7.59,-,-,-,-,-,-,-,-,-,-,-,-,-,0.88,2.46,4.26,0.17,0.51,Debt : FTP/FMP,null
SBI FMP-59-1618D-Reg(G),Ranjana Gupta,DT-FMP,Unrated,27,-,Closed Ended,31-Jan-22,CRISIL Medium to Long Term Debt Index,11.8,11.8,10.97,0.56,1.59,3.83,7.63,7.38,-,-,-,-,-,-,-,-,-,-,-,-,-,0.55,1.8,3.06,0.16,0.5,Debt : FTP/FMP,null
SBI FMP-6-3668D-Reg(G),Ranjana Gupta,DT-FMP,Unrated,33.6,-,Closed Ended,16-May-19,Crisil Long Term Debt Index,15.19,15.23,13.99,0.31,1.27,4.31,8.78,8.01,6.31,6.74,-,-,-,-,-,-,-,-,-,-,-,0.96,1.74,2.82,0.28,0.9,Debt : FTP/FMP,null
SBI FMP-60-1878D-Reg(G),Ranjana Gupta,DT-FMP,Unrated,239,-,Closed Ended,15-Feb-22,CRISIL Medium to Long Term Debt Index,11.81,11.81,10.91,0.54,1.56,4.01,8.36,7.69,-,-,-,-,-,-,-,-,-,-,-,-,-,0.91,2.49,4.37,0.19,0.53,Debt : FTP/FMP,null
SBI FMP-61-1927D-Reg(G),Ranjana Gupta,DT-FMP,Unrated,323.9,-,Closed Ended,22-Mar-22,CRISIL Medium to Long Term Debt Index,11.84,11.85,10.94,0.52,1.51,3.98,8.34,7.65,-,-,-,-,-,-,-,-,-,-,-,-,-,0.86,2.3,4.04,0.2,0.56,Debt : FTP/FMP,null
SBI FMP-64-1169D-Reg(G),Ranjana Gupta,DT-FMP,Unrated,389.3,-,Closed Ended,30-Aug-22,CRISIL Medium Duration Debt Index,11.66,11.66,10.86,0.47,1.5,3.55,7.33,7.11,-,-,-,-,-,-,-,-,-,-,-,-,-,0.58,2.87,4.48,0.08,0.26,Debt : FTP/FMP,null
SBI FMP-66-1361D-Reg(G),Ranjana Gupta,DT-FMP,Unrated,659.5,-,Closed Ended,19-Jul-22,CRISIL Medium Duration Debt Index,11.89,11.89,11.02,0.51,1.57,3.8,7.81,7.4,-,-,-,-,-,-,-,-,-,-,-,-,-,0.81,2.51,4.57,0.1,0.4,Debt : FTP/FMP,null
SBI FMP-67-1467D-Reg(G),Ranjana Gupta,DT-FMP,Unrated,566.5,-,Closed Ended,29-Jul-22,CRISIL Medium to Long Term Debt Index,11.85,11.85,10.99,0.54,1.57,3.86,7.9,7.48,-,-,-,-,-,-,-,-,-,-,-,-,-,0.78,2.66,4.54,0.14,0.4,Debt : FTP/FMP,null
SBI FMP-68-1302D-Reg(G),Ranjana Gupta,DT-FMP,Unrated,187.5,-,Closed Ended,22-Sep-22,CRISIL Medium Duration Debt Index,11.74,11.74,10.92,0.59,1.58,3.8,7.57,7.15,-,-,-,-,-,-,-,-,-,-,-,-,-,0.55,1.89,3.25,0.15,0.46,Debt : FTP/FMP,null
SBI FMP-72-1239D-Reg(G),Ranjana Gupta,DT-FMP,Unrated,326.1,-,Closed Ended,22-Nov-22,CRISIL Medium Duration Debt Index,11.6,11.6,10.76,0.61,1.63,3.9,7.76,7.32,-,-,-,-,-,-,-,-,-,-,-,-,-,0.66,2.09,3.61,0.16,0.48,Debt : FTP/FMP,null
SBI FMP-73-1226D-Reg(G),Ranjana Gupta,DT-FMP,Unrated,195,-,Closed Ended,08-Dec-22,CRISIL Medium Duration Debt Index,11.57,11.57,10.74,0.61,1.63,3.89,7.75,7.32,-,-,-,-,-,-,-,-,-,-,-,-,-,0.66,2.08,3.58,0.15,0.48,Debt : FTP/FMP,null
SBI FMP-74-1243D-Reg(G),Ranjana Gupta,DT-FMP,Unrated,153.4,-,Closed Ended,03-Jan-23,CRISIL Medium Duration Debt Index,11.54,11.54,10.69,0.53,1.59,3.86,7.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.88,2.58,4.72,0.1,0.43,Debt : FTP/FMP,null
SBI FMP-76-1221D-Reg(G),Ranjana Gupta,DT-FMP,Unrated,160.6,-,Closed Ended,24-Jan-23,CRISIL Medium Duration Debt Index,11.48,11.48,10.67,0.6,1.64,3.8,7.63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.6,2.31,3.92,0.14,0.39,Debt : FTP/FMP,null
SBI FMP-78-1170D-Reg(G),Ranjana Gupta,DT-FMP,Unrated,121.5,-,Closed Ended,21-Feb-23,CRISIL Medium Duration Debt Index,11.46,11.46,10.64,0.54,1.63,3.77,7.64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.68,2.77,4.63,0.1,0.33,Debt : FTP/FMP,null
SBI FMP-79-1130D-Reg(G),Ranjana Gupta,DT-FMP,Unrated,79.5,-,Closed Ended,14-Mar-23,CRISIL Medium Duration Debt Index,11.42,11.42,10.62,0.61,1.66,3.8,7.59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.58,2.2,3.69,0.14,0.4,Debt : FTP/FMP,null
SBI FMP-81-1157D-Reg(G),Ranjana Gupta,DT-FMP,Unrated,397.5,-,Closed Ended,31-Mar-23,CRISIL Medium Duration Debt Index,11.36,11.36,10.54,0.55,1.67,3.89,7.84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.86,3.21,5.3,0.09,0.33,Debt : FTP/FMP,null
SBI Focused Equity Fund-Reg(G),R. Srinivasan,EQ-MLC,3,34747.3,1.57,Open Ended,11-Oct-04,BSE 500 - TRI,330.78,348.06,276.6,0.45,-3.64,1.24,17.84,19.83,9.57,16.59,13.92,31,26,56995,34.37,30.68,9.38,Financials,-,-,-,9.55,1.11,1.7,0.69,11.67,Equity : Multi Cap,1% on or before 1Y Nil after 1Y
SBI Gold ETF,Vandna Soni,GOLD-ETF,Unrated,5907.9,0.65,Open Ended,18-May-09,Gold-India,66.5,68.84,53.59,-0.27,1.26,6.24,19.78,16.64,15.69,13.39,9.84,3,1,-,-,-,-,-,-,-,-,15.6,1.2,1.79,-0.06,12.91,Gold : ETFs,Nil
SBI Gold-Reg(G),Raviprakash Sharma,GOLD-MF,Unrated,2516.4,0.42,Open Ended,12-Sep-11,Gold-London Bullion Market association (LBMA),22.81,23.64,18.43,0.08,1.22,5.92,19.63,16.91,15.69,13.22,9.81,-,-,-,-,-,-,-,-,-,-,16.03,1.21,1.97,-0.14,12.95,Gold : MFs,1% on or before 15D Nil after 15D
SBI Healthcare Opp Fund-Reg(G),Tanmaya Desai,EQ-PHRM,2,3459.7,1.95,Open Ended,14-Jul-99,BSE Health Care - TRI,438.01,438.01,314.81,3.61,4.06,22.15,42.34,40.23,22.78,29.73,13.93,35,30,56826,27.85,25.88,38.39,Healthcare,-,-,-,30.47,2.74,4.9,0.39,11.81,Equity : Sectoral - Pharma,0.50% on or before 15D Nil after 15D
SBI Infrastructure Fund-Reg(G),Bhavin Vithlani,EQ-INFRA,2,5006.4,1.89,Open Ended,06-Jul-07,Nifty Infrastructure - TRI,50.36,55.47,41.36,-1.31,-8.84,-5.85,20.58,34.46,25.88,25.75,16.35,32,42,71717,35.07,18.81,38.23,Energy,-,-,-,12.02,1.08,1.57,0.88,15.14,Equity : Sectoral - Infrastructure,0.50% on or before 30D Nil after 30D
SBI Innovative Opportunities Fund-Reg(G),Prasad Padala,EQ-THEM,Unrated,7897.5,1.77,Open Ended,20-Aug-24,NIFTY 500 - TRI,10.28,10.35,9.37,4.43,-1.19,-,-,-,-,-,-,45,36,56977,36.09,25.64,34.63,Technology,-,-,-,-,-,-,-,-,Equity : Thematic,1% on or before 1Y Nil after 1Y
SBI International Access-US Equity FoF-Reg(G),Pradeep Kesavan,FOF-OVR,Unrated,980.6,1.6,Open Ended,22-Mar-21,S&P 500 ,16.59,17.27,13.24,-2.84,0.77,4.04,22.96,24.66,11.14,-,-,8,-,-,-,-,-,-,-,-,-,18.12,1.27,2.03,0.33,14.95,FoFs : Overseas,1% on or before 1Y Nil after 1Y
SBI Large & Midcap Fund-Reg(G),Saurabh Pant,EQ-L&M,4,29328.8,1.61,Open Ended,28-Feb-93,NIFTY LargeMidcap 250 - TRI,593.91,630.36,494.26,-1.01,-5.32,1.08,18.42,22.53,17.25,20.98,15.19,59,79,121761,39.48,33.9,19.9,Financials,-,-,-,9.83,1.08,1.6,0.82,12.91,Equity : Large & Mid Cap,0.10% on or before 30D Nil after 30D
SBI Liquid Fund-Reg(G),R. Arun,DT-LIQ,4,64117,0.31,Open Ended,11-Mar-07,Nifty Liquid Fund Index,3947.17,3947.17,3680.58,0.58,1.71,3.49,7.26,7.1,6.32,5.27,6.25,0,-,-,-,-,-,-,0.13,0.09,6.96,0.68,9.24,5.07,-,0.07,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D
SBI Long Duration Fund-Reg(G),Tejas Soman,DT-LD,Unrated,2668.8,0.68,Open Ended,21-Dec-22,CRISIL Long Duration Debt Index,11.95,12.01,10.71,0.3,-0.3,3.58,11.33,9.33,-,-,-,0,-,-,-,-,-,-,29.05,11.58,7.11,1.44,2.01,3.54,1.77,3.3,Debt : Long Duration,Nil
SBI Long Term Equity Fund-Reg(G),Dinesh Balachandran,EQ-ELSS,3,27847.5,1.59,Open Ended,31-Mar-93,BSE 500 - TRI,431.16,459.1,335.63,-0.99,-6.46,0.36,27.29,34.02,24.55,24.29,14.79,22,59,182189,59.95,19.22,11.01,Financials,-,-,-,17.29,1.56,2.31,0.88,13.87,Equity : Tax Saving (ELSS),Nil
SBI LT Advantage Fund-I-Reg(G),R. Srinivasan,EQ-ELSS,Unrated,53.3,-,Closed Ended,11-Feb-15,BSE 500,43.54,45.52,33.87,-1.78,-3.87,2.45,26.68,27.09,18.96,25.28,-,37,24,102968,39.39,12.76,25.24,Financials,-,-,-,16.61,1.33,1.96,0.91,15.84,Equity : Tax Saving (ELSS),null
SBI LT Advantage Fund-II-Reg(G),R. Srinivasan,EQ-ELSS,Unrated,41.7,-,Closed Ended,01-Apr-15,BSE 500,44.56,47.57,35.36,-2.21,-5.96,0.36,23.99,25.67,17.75,25.03,-,42,24,83378,37.77,17.72,30.48,Financials,-,-,-,14.39,1.16,1.7,0.94,16.44,Equity : Tax Saving (ELSS),null
SBI LT Advantage Fund-III-Reg(G),R. Srinivasan,EQ-ELSS,Unrated,78.7,-,Closed Ended,31-Mar-16,BSE 500,45.77,48.26,35.21,-2.5,-5.02,2.18,27.78,28.33,19.97,26.49,-,41,26,71785,35.99,16.57,38.01,Financials,-,-,-,17.54,1.34,1.98,0.93,16.47,Equity : Tax Saving (ELSS),null
SBI LT Advantage Fund-IV-Reg(G),R. Srinivasan,EQ-ELSS,Unrated,221.7,-,Closed Ended,31-Mar-17,BSE 500,47.97,51.77,38.73,0.36,-7.22,1.65,21.32,23.14,17.35,27.41,-,61,23,122845,66.06,21.56,9.47,Financials,-,-,-,12.68,1.21,1.88,0.68,13.21,Equity : Tax Saving (ELSS),null
SBI LT Advantage Fund-V-Reg(G),Mohan Lal,EQ-ELSS,Unrated,369.1,-,Closed Ended,27-Mar-18,BSE 500,28.71,29,19.49,0.74,-0.98,14.13,44.75,30.01,19.99,21.41,-,29,28,58953,36.97,12.3,46.03,Financials,-,-,-,30.06,2.26,3.46,0.85,15.18,Equity : Tax Saving (ELSS),null
SBI LT Advantage Fund-VI-Reg(G),R. Srinivasan,EQ-ELSS,Unrated,299.8,-,Closed Ended,17-Jul-18,BSE 500,31.7,33.57,25.07,0.46,-5.57,2.09,24.68,31.47,20.87,22.95,-,-,38,33225,19.66,10.54,53.75,Financials,-,-,-,15.04,1.27,1.84,0.82,15.09,Equity : Tax Saving (ELSS),null
SBI Magnum Childrens Benefit Fund-Investment Plan-Reg(G),R. Srinivasan,HY-SOL,Unrated,2961.9,1.92,Open Ended,29-Sep-20,CRISIL Hybrid 35+65 - Aggressive Index,43.36,43.36,30.49,6.98,2.52,11.88,39.96,34.67,23.94,-,-,0,29,33887,22.65,4.98,48.63,FMCG,-,-,6.66,26.01,2.41,3.94,1.6,12.73,Hybrid : Solution Oriented,3% on or before 1Y 2% after 1Y but on or before 2Y 1% after 2Y but on or before 3Y Nil after 3Y
SBI Magnum Childrens Benefit Fund-Savings Plan,Rajeev Radhakrishnan,HY-SOL,Unrated,122.5,1.21,Open Ended,28-Jan-02,NIFTY 50 Hybrid Composite Debt 15:85 Index,107.69,108.33,91.5,0.2,0.69,7.7,17.41,17.25,11.91,13.6,11.65,0,18,12875,1.07,1.1,18.6,FMCG,9.6,5.43,7.39,10.33,3,5.12,0.73,4.16,Hybrid : Solution Oriented,3% on or before 1Y 2% after 1Y but on or before 2Y 1% after 2Y but on or before 3Y Nil after 3Y
SBI Magnum Comma Fund-Reg(G),Dinesh Balachandran,EQ-THEM,5,652.9,2.51,Open Ended,08-Aug-05,NIFTY COMMODITIES - TRI,99.56,111.69,86.14,-2.59,-11.44,-2.5,10.11,20.94,11.41,20.66,14.86,72,25,90947,49.8,12.79,30.56,Energy,-,-,-,2.49,0.39,0.55,1.2,21.46,Equity : Thematic,0.50% on or before 30D Nil after 30D
SBI Magnum Constant Maturity Fund-Reg(G),Tejas Soman,DT-GL10Y,Unrated,1881.3,0.64,Open Ended,25-Dec-00,Nifty 10 yr Benchmark G-Sec,60.68,60.76,55.46,0.35,0.81,4.53,9.24,8.25,5.87,6.18,8.11,0,-,-,-,-,-,-,9.85,6.84,6.93,1.41,2.24,3.91,1.14,2.13,Debt : Gilt (10 Yr Constant Duration),Nil
